"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"576","49.562352399","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1659, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"577","49.623492569","Sagemcom_7d:5b:41","ASUSTekC_16:56:95","802.11","398","-86dBm","Probe Response, SN=1660, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"578","49.664179588","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1661, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"579","49.766941515","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1662, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"580","49.869295864","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1663, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"581","49.970512319","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1664, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"582","50.073204794","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1665, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"583","50.175307943","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1666, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"584","50.277723227","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1667, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"585","50.380076019","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1668, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"586","50.482496370","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1669, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
